iter	Passed	Remaining
0	137	137597
1	142	70889
2	143	47688
3	145	36123
4	146	29155
5	148	24574
6	149	21241
7	151	18738
8	152	16797
9	156	15446
10	157	14165
11	158	13081
12	160	12173
13	161	11403
14	163	10728
15	164	10137
16	166	9622
17	169	9262
18	171	8843
19	172	8459
20	173	8111
21	175	7791
22	176	7499
23	177	7229
24	179	6982
25	180	6763
26	183	6616
27	185	6433
28	186	6252
29	189	6112
30	191	5972
31	192	5828
32	194	5691
33	195	5561
34	201	5543
35	202	5432
36	204	5325
37	206	5231
38	208	5135
39	210	5043
40	214	5023
41	216	4945
42	220	4896
43	222	4829
44	224	4773
45	230	4779
46	232	4705
47	233	4633
48	235	4565
49	237	4505
50	238	4444
51	240	4385
52	244	4365
53	246	4312
54	247	4259
55	249	4213
56	251	4166
57	253	4118
58	255	4072
59	260	4073
60	261	4026
61	284	4304
62	286	4261
63	288	4213
64	294	4235
65	295	4188
66	297	4142
67	298	4097
68	300	4054
69	301	4011
70	303	3970
71	309	3982
72	310	3945
73	312	3914
74	317	3914
75	324	3949
76	327	3921
77	328	3888
78	347	4056
79	358	4126
80	360	4090
81	373	4181
82	375	4147
83	388	4239
84	391	4217
85	393	4182
86	395	4154
87	398	4128
88	400	4095
89	411	4160
90	413	4132
91	441	4357
92	443	4322
93	445	4294
94	447	4263
95	449	4231
96	458	4263
97	460	4237
98	464	4230
99	475	4276
100	477	4247
101	480	4226
102	488	4256
103	492	4242
104	494	4210
105	495	4179
106	543	4540
107	545	4505
108	547	4475
109	558	4518
110	560	4485
111	562	4461
112	564	4431
113	566	4402
114	568	4378
115	573	4366
116	578	4368
117	580	4338
118	594	4399
119	596	4370
120	608	4420
121	609	4389
122	654	4665
123	657	4645
124	659	4615
125	661	4591
126	663	4560
127	665	4533
128	667	4505
129	668	4476
130	677	4493
131	680	4471
132	681	4445
133	683	4418
134	688	4412
135	691	4392
136	693	4366
137	694	4338
138	695	4311
139	697	4283
140	699	4259
141	703	4249
142	704	4223
143	706	4197
144	707	4174
145	709	4149
146	710	4125
147	712	4101
148	714	4078
149	720	4085
150	722	4063
151	723	4039
152	725	4015
153	726	3993
154	728	3970
155	729	3948
156	733	3939
157	735	3920
158	737	3899
159	738	3877
160	739	3853
161	740	3831
162	742	3810
163	743	3791
164	745	3773
165	750	3769
166	751	3750
167	753	3731
168	754	3711
169	756	3692
170	757	3672
171	758	3653
172	760	3634
173	764	3628
174	766	3611
175	767	3595
176	770	3582
177	772	3565
178	773	3547
179	774	3530
180	781	3536
181	783	3521
182	785	3506
183	787	3490
184	788	3473
185	789	3456
186	791	3439
187	793	3425
188	794	3410
189	796	3395
190	797	3379
191	799	3366
192	801	3350
193	808	3358
194	809	3342
195	811	3327
196	812	3313
197	814	3297
198	815	3283
199	821	3287
200	823	3273
201	824	3258
202	826	3244
203	827	3229
204	829	3215
205	831	3206
206	839	3214
207	841	3204
208	846	3202
209	852	3205
210	855	3198
211	857	3187
212	859	3176
213	861	3163
214	862	3149
215	871	3163
216	873	3150
217	874	3138
218	876	3125
219	878	3114
220	884	3118
221	888	3113
222	890	3102
223	909	3150
224	911	3137
225	919	3149
226	921	3138
227	923	3128
228	925	3115
229	927	3105
230	936	3116
231	937	3104
232	939	3093
233	941	3081
234	942	3069
235	948	3071
236	950	3058
237	951	3046
238	953	3034
239	954	3022
240	956	3012
241	958	3001
242	965	3008
243	967	2997
244	969	2987
245	971	2976
246	972	2965
247	974	2953
248	979	2953
249	980	2942
250	982	2932
251	983	2920
252	985	2909
253	986	2897
254	988	2887
255	989	2876
256	991	2867
257	993	2857
258	995	2848
259	998	2841
260	1003	2842
261	1005	2832
262	1007	2822
263	1008	2812
264	1010	2803
265	1012	2793
266	1014	2785
267	1016	2776
268	1018	2767
269	1020	2758
270	1035	2785
271	1040	2785
272	1048	2792
273	1051	2786
274	1053	2778
275	1057	2773
276	1063	2776
277	1069	2778
278	1071	2769
279	1078	2773
280	1081	2766
281	1084	2761
282	1086	2753
283	1088	2744
284	1095	2748
285	1097	2739
286	1099	2731
287	1101	2721
288	1102	2712
289	1104	2704
290	1110	2706
291	1113	2699
292	1115	2690
293	1117	2683
294	1119	2675
295	1125	2677
296	1128	2670
297	1131	2666
298	1133	2658
299	1135	2649
300	1143	2656
301	1146	2648
302	1149	2644
303	1156	2648
304	1158	2640
305	1163	2637
306	1164	2629
307	1174	2638
308	1176	2631
309	1178	2622
310	1180	2615
311	1182	2607
312	1184	2599
313	1190	2601
314	1193	2596
315	1195	2588
316	1197	2579
317	1199	2571
318	1204	2571
319	1207	2565
320	1214	2568
321	1222	2573
322	1224	2565
323	1225	2557
324	1227	2549
325	1229	2541
326	1231	2534
327	1238	2536
328	1241	2531
329	1244	2525
330	1246	2519
331	1253	2521
332	1255	2514
333	1258	2508
334	1260	2501
335	1269	2508
336	1271	2501
337	1273	2494
338	1275	2487
339	1278	2480
340	1282	2478
341	1285	2473
342	1293	2477
343	1304	2487
344	1312	2491
345	1314	2483
346	1317	2480
347	1320	2474
348	1327	2475
349	1329	2468
350	1331	2461
351	1333	2454
352	1335	2448
353	1341	2447
354	1343	2440
355	1344	2432
356	1346	2425
357	1348	2417
358	1350	2410
359	1351	2403
360	1357	2403
361	1359	2395
362	1377	2417
363	1379	2410
364	1381	2403
365	1383	2396
366	1389	2395
367	1392	2391
368	1394	2385
369	1396	2378
370	1398	2371
371	1404	2371
372	1406	2364
373	1408	2357
374	1410	2350
375	1412	2343
376	1413	2336
377	1425	2344
378	1427	2338
379	1428	2331
380	1430	2324
381	1436	2323
382	1438	2317
383	1441	2312
384	1443	2305
385	1444	2298
386	1451	2299
387	1454	2293
388	1456	2287
389	1458	2281
390	1460	2274
391	1472	2284
392	1475	2279
393	1477	2272
394	1487	2278
395	1489	2271
396	1490	2264
397	1493	2258
398	1498	2256
399	1500	2250
400	1503	2246
401	1505	2239
402	1508	2234
403	1516	2237
404	1518	2231
405	1520	2225
406	1522	2218
407	1524	2212
408	1529	2209
409	1531	2204
410	1535	2200
411	1547	2209
412	1549	2202
413	1550	2195
414	1552	2188
415	1553	2181
416	1555	2174
417	1559	2170
418	1560	2164
419	1562	2157
420	1564	2151
421	1566	2145
422	1568	2139
423	1570	2132
424	1575	2131
425	1577	2125
426	1579	2119
427	1582	2114
428	1584	2109
429	1586	2103
430	1588	2097
431	1590	2091
432	1593	2086
433	1595	2080
434	1598	2076
435	1605	2076
436	1607	2071
437	1609	2065
438	1611	2059
439	1614	2054
440	1619	2052
441	1621	2047
442	1629	2048
443	1646	2061
444	1648	2055
445	1652	2052
446	1655	2047
447	1660	2045
448	1661	2039
449	1665	2035
450	1669	2031
451	1671	2025
452	1672	2019
453	1674	2013
454	1675	2007
455	1681	2005
456	1684	2001
457	1686	1995
458	1688	1989
459	1689	1983
460	1691	1977
461	1693	1971
462	1699	1971
463	1701	1965
464	1703	1960
465	1705	1954
466	1707	1948
467	1708	1942
468	1715	1942
469	1725	1946
470	1732	1946
471	1734	1940
472	1736	1934
473	1738	1928
474	1739	1922
475	1741	1916
476	1746	1914
477	1747	1908
478	1749	1902
479	1751	1896
480	1752	1891
481	1754	1885
482	1755	1878
483	1756	1872
484	1761	1870
485	1763	1865
486	1764	1858
487	1766	1852
488	1767	1847
489	1769	1841
490	1770	1835
491	1774	1832
492	1776	1827
493	1779	1822
494	1781	1817
495	1782	1811
496	1784	1805
497	1785	1800
498	1787	1794
499	1790	1790
500	1792	1784
501	1794	1779
502	1795	1774
503	1797	1769
504	1799	1763
505	1806	1763
506	1807	1757
507	1809	1752
508	1811	1747
509	1813	1742
510	1819	1741
511	1821	1735
512	1823	1730
513	1825	1725
514	1827	1720
515	1834	1721
516	1836	1715
517	1838	1710
518	1839	1705
519	1841	1699
520	1843	1694
521	1844	1689
522	1852	1689
523	1854	1684
524	1855	1678
525	1857	1673
526	1859	1669
527	1865	1668
528	1867	1662
529	1870	1658
530	1871	1652
531	1873	1647
532	1874	1642
533	1881	1642
534	1883	1637
535	1885	1631
536	1888	1627
537	1889	1622
538	1891	1617
539	1893	1613
540	1895	1608
541	1897	1603
542	1898	1598
543	1899	1592
544	1901	1587
545	1906	1585
546	1908	1580
547	1912	1577
548	1913	1572
549	1915	1566
550	1919	1564
551	1921	1559
552	1922	1553
553	1923	1548
554	1926	1544
555	1927	1539
556	1929	1534
557	1930	1529
558	1937	1528
559	1939	1524
560	1941	1519
561	1943	1514
562	1945	1510
563	1951	1508
564	1953	1504
565	1955	1499
566	1957	1494
567	1958	1489
568	1960	1484
569	1962	1480
570	1968	1478
571	1970	1474
572	1971	1469
573	1973	1464
574	1974	1459
575	1976	1454
576	1977	1449
577	1983	1447
578	1985	1443
579	1987	1439
580	1988	1434
581	1990	1429
582	1992	1425
583	2000	1424
584	2002	1420
585	2004	1416
586	2007	1412
587	2009	1407
588	2014	1406
589	2016	1401
590	2018	1397
591	2020	1392
592	2022	1388
593	2024	1383
594	2036	1386
595	2038	1381
596	2039	1377
597	2064	1387
598	2066	1383
599	2067	1378
600	2069	1374
601	2072	1370
602	2076	1367
603	2077	1362
604	2079	1357
605	2080	1352
606	2082	1348
607	2083	1343
608	2084	1338
609	2086	1333
610	2087	1329
611	2093	1327
612	2095	1322
613	2098	1319
614	2100	1314
615	2101	1310
616	2103	1305
617	2107	1302
618	2108	1298
619	2110	1293
620	2111	1288
621	2112	1283
622	2114	1279
623	2116	1275
624	2117	1270
625	2123	1268
626	2125	1264
627	2127	1260
628	2128	1255
629	2130	1251
630	2132	1246
631	2134	1242
632	2138	1240
633	2140	1235
634	2142	1231
635	2144	1227
636	2146	1222
637	2147	1218
638	2149	1214
639	2156	1213
640	2157	1208
641	2159	1204
642	2161	1200
643	2163	1195
644	2164	1191
645	2169	1188
646	2171	1184
647	2172	1180
648	2174	1176
649	2176	1171
650	2178	1167
651	2180	1163
652	2186	1161
653	2188	1157
654	2190	1153
655	2191	1149
656	2193	1145
657	2196	1141
658	2200	1138
659	2207	1137
660	2208	1132
661	2210	1128
662	2211	1124
663	2216	1121
664	2218	1117
665	2220	1113
666	2222	1109
667	2224	1105
668	2225	1101
669	2231	1098
670	2233	1094
671	2234	1090
672	2236	1086
673	2238	1082
674	2240	1078
675	2242	1074
676	2249	1073
677	2252	1069
678	2254	1065
679	2255	1061
680	2257	1057
681	2258	1053
682	2260	1049
683	2262	1045
684	2263	1041
685	2265	1036
686	2267	1032
687	2268	1028
688	2270	1024
689	2275	1022
690	2277	1018
691	2279	1014
692	2281	1010
693	2283	1006
694	2284	1002
695	2286	998
696	2297	998
697	2300	995
698	2301	991
699	2306	988
700	2309	985
701	2311	981
702	2312	977
703	2314	973
704	2315	968
705	2317	964
706	2325	963
707	2328	960
708	2329	956
709	2331	952
710	2333	948
711	2339	946
712	2342	942
713	2361	946
714	2365	942
715	2374	941
716	2376	937
717	2378	934
718	2380	930
719	2387	928
720	2389	924
721	2391	920
722	2393	917
723	2395	913
724	2404	911
